Timestamp,Solar_Irradiance (W/m²),Temperature (°C),Solar_Power_Generated (kW),Load_Demand (kW),Battery_SOC (%),Grid_Usage (kW),Battery_Charge/Discharge (kW)
2024-01-01 00:00:00,0.0,18.530305136276613,0.0,0.7,42.631578947368425,0.0,-0.7
2024-01-01 01:00:00,0.0,17.735302498690302,0.0,0.96,32.526315789473685,0.0,-0.96
2024-01-01 02:00:00,0.0,19.300917402668293,0.0,0.92,22.842105263157897,0.0,-0.92
2024-01-01 03:00:00,0.0,21.291498913600478,0.0,0.95,12.8421052631579,0.0,-0.95
2024-01-01 04:00:00,0.0,20.735241854339247,0.0,0.96,2.736842105263162,0.0,-0.96
2024-01-01 05:00:00,0.0,22.961647856547998,0.0,0.95,0.0,0.6763157894736838,-0.2736842105263162
2024-01-01 06:00:00,0.0,23.50257468120618,0.0,2.69,0.0,2.69,0.0
2024-01-01 07:00:00,205.28827810427038,25.341986908136622,1.03,2.24,0.0,1.2135586094786484,0.0
2024-01-01 08:00:00,314.6298571239085,25.48968087280004,1.57,2.94,0.0,1.3668507143804574,0.0
2024-01-01 09:00:00,500.28226183076526,26.894958214032638,2.5,2.45,0.4884074369613467,0.0,0.05141130915382597
2024-01-01 10:00:00,771.8787547312818,28.22840888027524,3.86,0.82,29.36264828669723,0.0,3.039393773656409
2024-01-01 11:00:00,665.0035793543226,27.912554282103326,3.33,0.94,52.02031830602755,0.0,2.385017896771613
2024-01-01 12:00:00,744.6513149889347,26.491631216954648,3.72,1.13,76.65625576800196,0.0,2.593256574944673
2024-01-01 13:00:00,614.2026031121064,27.582245460031015,3.07,1.1,95.38087941582701,0.0,1.971013015560532
2024-01-01 14:00:00,699.0169378058127,28.683634558637745,3.5,1.32,99.76904397079134,0.0,0.4619120584172993
2024-01-01 15:00:00,448.5005338582354,28.14763785358266,2.24,0.76,99.98845219853956,0.0,0.023095602920864877
2024-01-01 16:00:00,324.42008472825574,25.788003579157426,1.62,0.87,99.999422609927,0.0,0.0011547801460434215
2024-01-01 17:00:00,174.21132296293518,23.35202857070423,0.87,0.98,98.85265013429199,0.0,-0.1089433851853241
2024-01-01 18:00:00,8.447612009111405e-14,22.462278705020992,0.0,2.64,71.06317645008147,0.0,-2.6399999999999997
2024-01-01 19:00:00,0.0,23.39736025912967,0.0,2.6,43.694755397449896,0.0,-2.6
2024-01-01 20:00:00,0.0,22.484968135510304,0.0,2.93,12.852650134291997,0.0,-2.93
2024-01-01 21:00:00,0.0,20.56478145963094,0.0,2.69,0.0,1.4047349865708,-1.2852650134291999
2024-01-01 22:00:00,0.0,16.859288693089358,0.0,2.4,0.0,2.4,0.0
2024-01-01 23:00:00,0.0,19.478627408409036,0.0,2.31,0.0,2.31,0.0
2024-01-02 00:00:00,0.0,18.00515016597528,0.0,0.78,0.0,0.78,0.0
2024-01-02 01:00:00,0.0,17.17085327797633,0.0,1.0,0.0,1.0,0.0
2024-01-02 02:00:00,0.0,17.831689254850083,0.0,0.8,0.0,0.8,0.0
2024-01-02 03:00:00,0.0,20.08262575156339,0.0,0.76,0.0,0.76,0.0
2024-01-02 04:00:00,0.0,21.21502598415881,0.0,0.91,0.0,0.91,0.0
2024-01-02 05:00:00,0.0,22.823055831659865,0.0,0.94,0.0,0.94,0.0
2024-01-02 06:00:00,0.0,24.52360085150006,0.0,2.97,0.0,2.97,0.0
2024-01-02 07:00:00,168.38307679061006,24.238294622224835,0.84,2.66,0.0,1.8180846160469497,0.0
2024-01-02 08:00:00,362.76203979677854,26.71471385790531,1.81,2.74,0.0,0.9261898010161074,0.0
2024-01-02 09:00:00,478.9399389117462,26.283232913110012,2.39,2.68,0.0,0.2853003054412695,0.0
2024-01-02 10:00:00,553.6230492288773,29.38062814269961,2.77,0.85,18.222094838371667,0.0,1.9181152461443864
2024-01-02 11:00:00,756.1656678136087,27.9118333422304,3.78,0.83,46.25496405951809,0.0,2.9508283390680434
2024-01-02 12:00:00,661.5328178731914,30.266481541991755,3.31,1.1,67.22777290849469,0.0,2.207664089365957
2024-01-02 13:00:00,726.438556214508,26.794572598407242,3.63,1.02,92.04360432868381,0.0,2.6121927810725403
2024-01-02 14:00:00,710.4707279642549,26.049016640880033,3.55,1.43,99.60218021643419,0.0,0.7956395671316194
2024-01-02 15:00:00,538.5197732411988,26.766225052986915,2.69,0.9,99.98010901082172,0.0,0.03978197835658115
2024-01-02 16:00:00,345.63728329084637,25.24832482432203,1.73,0.74,99.99900545054109,0.0,0.0019890989178286134
2024-01-02 17:00:00,160.64722795618655,22.854208897275477,0.8,0.94,98.55938586928775,0.0,-0.13676386021906717
2024-01-02 18:00:00,9.807461324754587e-14,21.938795259045673,0.0,2.84,68.66464902718249,0.0,-2.8399999999999994
2024-01-02 19:00:00,0.0,21.685105228655967,0.0,2.79,39.2962279745509,0.0,-2.79
2024-01-02 20:00:00,0.0,19.88371620198101,0.0,2.97,8.033070079814056,0.0,-2.97
2024-01-02 21:00:00,0.0,19.98179979919763,0.0,2.24,0.0,1.4366929920185947,-0.8033070079814055
2024-01-02 22:00:00,0.0,17.513226444032878,0.0,2.42,0.0,2.42,0.0
2024-01-02 23:00:00,0.0,19.107673659871917,0.0,2.02,0.0,2.02,0.0
2024-01-03 00:00:00,0.0,18.432234366978783,0.0,0.8,0.0,0.8,0.0
2024-01-03 01:00:00,0.0,19.01046913684946,0.0,0.74,0.0,0.74,0.0
2024-01-03 02:00:00,0.0,18.717638132186323,0.0,0.72,0.0,0.72,0.0
2024-01-03 03:00:00,0.0,19.512002996468354,0.0,0.75,0.0,0.75,0.0
2024-01-03 04:00:00,0.0,19.51304246691251,0.0,0.79,0.0,0.79,0.0
2024-01-03 05:00:00,0.0,22.193705295782795,0.0,0.94,0.0,0.94,0.0
2024-01-03 06:00:00,0.0,23.21322720733232,0.0,2.82,0.0,2.82,0.0
2024-01-03 07:00:00,226.63470584638236,24.424368345472583,1.13,2.8,0.0,1.666826470768088,0.0
2024-01-03 08:00:00,343.6753254818948,26.689647328084178,1.72,2.74,0.0,1.0216233725905264,0.0
2024-01-03 09:00:00,521.9017150670909,25.847932594115413,2.61,2.98,0.0,0.37049142466454565,0.0
2024-01-03 10:00:00,649.958914492532,27.12208036757564,3.25,0.87,22.608048438395265,0.0,2.3797945724626595
2024-01-03 11:00:00,574.3220995364442,26.579205148319424,2.87,0.87,41.62334816637636,0.0,2.0016104976822207
2024-01-03 12:00:00,744.3392500465219,26.79163222743917,3.72,1.27,64.91446254358615,0.0,2.4516962502326094
2024-01-03 13:00:00,593.1369241596584,30.033628258698524,2.97,1.12,82.44846644116993,0.0,1.8456846207982922
2024-01-03 14:00:00,657.2810837179264,25.82804793177474,3.29,1.29,99.1224233220585,0.0,1.7551533558830084
2024-01-03 15:00:00,455.52495134746914,27.088463857547524,2.28,0.95,99.95612116610292,0.0,0.0877576677941505
2024-01-03 16:00:00,429.8272498183542,25.7107610767457,2.15,0.84,99.99780605830514,0.0,0.004387883389707525
2024-01-03 17:00:00,163.70788708868596,22.930687470181113,0.82,0.82,99.98243169455176,0.0,-0.0014605645565700653
2024-01-03 18:00:00,9.330971314180941e-14,23.538401847204554,0.0,2.19,76.92980011560441,0.0,-2.1899999999999995
2024-01-03 19:00:00,0.0,22.16970052463231,0.0,2.93,46.08769485244652,0.0,-2.93
2024-01-03 20:00:00,0.0,19.62170650547692,0.0,2.45,20.29822116823598,0.0,-2.45
2024-01-03 21:00:00,0.0,18.733266230267237,0.0,2.77,0.0,0.7401778831764019,-2.029822116823598
2024-01-03 22:00:00,0.0,17.82101676289028,0.0,2.18,0.0,2.18,0.0
2024-01-03 23:00:00,0.0,17.43251943464215,0.0,3.0,0.0,3.0,0.0
2024-01-04 00:00:00,0.0,17.023889806280028,0.0,0.76,0.0,0.76,0.0
2024-01-04 01:00:00,0.0,17.074400089216077,0.0,0.77,0.0,0.77,0.0
2024-01-04 02:00:00,0.0,18.057050366526376,0.0,0.86,0.0,0.86,0.0
2024-01-04 03:00:00,0.0,19.05817508652172,0.0,0.7,0.0,0.7,0.0
2024-01-04 04:00:00,0.0,22.58137253452719,0.0,0.84,0.0,0.84,0.0
2024-01-04 05:00:00,0.0,20.00799705604959,0.0,0.96,0.0,0.96,0.0
2024-01-04 06:00:00,0.0,21.489226548142117,0.0,2.38,0.0,2.38,0.0
2024-01-04 07:00:00,183.63616947104236,24.083516497199096,0.92,2.5,0.0,1.5818191526447882,0.0
2024-01-04 08:00:00,283.65150244051995,24.87606708384268,1.42,2.45,0.0,1.0317424877974006,0.0
2024-01-04 09:00:00,459.8709073769678,26.449264550848657,2.3,2.71,0.0,0.41064546311516104,0.0
2024-01-04 10:00:00,606.4388636769272,25.56398607714773,3.03,0.86,20.635846024654043,0.0,2.172194318384636
2024-01-04 11:00:00,710.3089575620199,26.044788543926945,3.55,0.9,45.82552150884998,0.0,2.6515447878100997
2024-01-04 12:00:00,748.3016508914405,29.225370040379786,3.74,1.4,68.06984992619341,0.0,2.3415082544572026
2024-01-04 13:00:00,640.8583924124733,27.273689743947738,3.2,1.05,88.53562356578588,0.0,2.1542919620623673
2024-01-04 14:00:00,760.8169126552293,27.134252202248984,3.8,1.14,99.4267811782893,0.0,1.146437643421411
2024-01-04 15:00:00,496.6749400588326,26.003056206323933,2.48,0.88,99.97133905891448,0.0,0.05732188217107037
